manager,att,dfn,net
Aitor Karanka,-0.18778935424416918,0.2399931379281661,0.05220378368399692
Alan Pardew,0.12991979786672558,-0.2039594613186355,-0.0740396634519099
Alex Neil,0.17981632984420898,0.06091483137004506,0.24073116121425403
Andoni Iraola,0.4750648130281373,0.27372793277838664,0.748792745806524
Ange Postecoglou,0.16587970303841412,-0.28099134594268566,-0.11511164290427153
Antonio Conte,0.10605848640929948,0.16200936064445218,0.26806784705375164
Arne Slot,0.22265210850366607,0.2069430052843291,0.4295951137879952
Arsène Wenger,0.3476442352787661,0.06384850940763379,0.41149274468639985
Brendan Rodgers,-0.03200012931589668,0.18312379138087959,0.1511236620649829
Bruno Lage,0.019480873312415044,0.09181699157117397,0.11129786488358902
Carlo Ancelotti,0.15261446037865858,0.03459670558373087,0.18721116596238946
Carlos Carvalhal,-0.0026716636926455268,0.13554141380013546,0.13286975010748994
Chris Hughton,-0.4372361175297187,0.0834293328440809,-0.3538067846856378
Chris Wilder,0.1779709904974646,0.3070764317032355,0.4850474222007001
Claude Puel,-0.03596592060859321,0.23453234162481795,0.19856642101622474
Claudio Ranieri,0.08847321822261679,-0.054277266537166864,0.03419595168544993
Craig Shakespeare,-0.05572201013239523,-0.0045226402909279845,-0.060244650423323214
Daniel Farke,0.16171032746510391,0.19859010174044336,0.3603004292055473
David Moyes,-0.06682834951734272,0.08713426999812578,0.020305920480783057
David Wagner,-0.06465411401613705,0.11424073586675046,0.04958662185061341
Dean Smith,0.08941513224295163,-0.02073876780024959,0.06867636444270203
Dick Advocaat,-0.05263637381746696,-0.035855805816964494,-0.08849217963443146
Eddie Howe,0.2515437952925363,0.04869521796768891,0.3002390132602252
Enzo Maresca,0.08822338955701439,0.022780594388622868,0.11100398394563726
Erik ten Hag,0.1261905029498171,-0.20975753040727843,-0.08356702745746133
Fabian Hürzeler,0.07642379743613108,0.26348734258193524,0.3399111400180663
Francesco Guidolin,0.11393772717213368,-0.03191219094520155,0.08202553622693214
Frank Lampard,-0.07503789387286133,-0.14543432444706933,-0.22047221831993066
Garry Monk,0.1007783827345094,0.11224173305490812,0.2130201157894175
Gary O'Neil,0.18536829141033567,-1.569825626878006e-05,0.18535259315406688
Graham Potter,-0.2366380282503954,0.10688736135466333,-0.12975066689573206
Gus Poyet,-0.12788721024751665,0.1660800991923803,0.03819288894486364
Guus Hiddink,-0.11287739899604443,-0.21705043496726917,-0.3299278339633136
Jan Siewert,0.00289325142974813,-0.20203992315825553,-0.1991466717285074
Javi Gracia,0.058129388143055585,-0.17075487291292585,-0.11262548476987026
Jesse Marsch,0.18613062674623734,0.048527809373086754,0.2346584361193241
John Carver,-0.10119269898009634,-0.051587389150407365,-0.1527800881305037
José Mourinho,-0.01411270604750601,0.006181623484814699,-0.007931082562691313
Julen Lopetegui,-0.014122647117577733,-0.20567395253125798,-0.21979659964883572
Jürgen Klopp,0.2726334612519682,0.17438112110688928,0.4470145823588575
Keith Andrews,0.01372025340797977,0.019046894505037777,0.03276714791301755
Kieran McKenna,1.976074580561027e-09,-1.4672241588651365e-08,-1.2696167008090338e-08
Louis van Gaal,-0.14821971207192794,-0.13673225992970017,-0.28495197200162814
Manuel Pellegrini,-0.14582429295685123,-0.18667354205962247,-0.3324978350164737
Marcelo Bielsa,0.1846705174778563,-0.0924325871453116,0.09223793033254468
Marco Silva,0.1459924801103055,-0.00908408611146429,0.1369083939988412
Mark Hughes,0.04550581547991563,0.18096357789137588,0.22646939337129152
Mauricio Pellegrino,-0.08997905395678853,0.10231044481538346,0.012331390858594929
Mauricio Pochettino,0.1298625756736532,-0.039963468590781155,0.08989910708287205
Maurizio Sarri,-0.053045568851141395,0.0050854993288007464,-0.04796006952234065
Michael Carrick,0.024742556844441047,0.15551241068787364,0.18025496753231468
Mike Phelan,-0.11678054712217978,-0.16024325296576672,-0.27702380008794647
Mikel Arteta,0.20856558847449957,0.20541518595342845,0.413980774427928
Neil Warnock,-0.020639970553546372,-0.01325458791892704,-0.03389455847247341
Nigel Pearson,-0.0624224789095955,0.01915421230455536,-0.04326826660504014
Nuno Espírito Santo,0.06255418600448022,0.1682681530787843,0.2308223390832645
Ole Gunnar Solskjær,-0.014994896751378273,0.04243003796019552,0.027435141208817244
Oliver Glasner,0.38028111455933206,-0.015038992676798202,0.36524212188253385
Patrick Vieira,0.06582567582545415,0.14522940470891985,0.211055080534374
Paul Clement,-0.067455253846568,0.3062852363125166,0.23882998246594858
Paul Heckingbottom,-0.17797099181985412,-0.3070764359600695,-0.4850474277799236
Paul Lambert,-0.19696788430995593,0.20348616547734194,0.006518281167386009
Pep Guardiola,0.10339916963270564,0.14536352126931906,0.24876269090202469
Quique Sánchez Flores,-0.06883273332177556,-0.09521427674544683,-0.1640470100672224
Rafael Benítez,-0.012844023566293189,0.051469342664345864,0.038625319098052675
