season,team,net,att,dfn,c_pts,c_gd,pred
2015,Bournemouth,-0.317978915914092,-0.168554811925609,-0.14942410398848296,90,53,-0.4466390704787994
2015,Norwich,-0.3374142847257977,-0.16352750486687365,-0.17388677985892403,86,40,-0.4538884742202867
2015,Watford,-0.17401663349536337,-0.1758285348482744,0.0018119013529110262,89,41,-0.44845142141417127
2016,Burnley,-0.42522132554478,-0.3080561293702417,-0.11716519617453827,93,37,-0.44120201767268397
2016,Hull,-0.6668331507916647,-0.29833060975402836,-0.36850254103763636,83,34,-0.45932552702640217
2016,Middlesbrough,-0.565269046861169,-0.4615005148418046,-0.10376853201936437,89,32,-0.44845142141417127
2017,Brighton,-0.41367593615892934,-0.3255930412530664,-0.08808289490586298,93,34,-0.44120201767268397
2017,Huddersfield,-0.48983378961506596,-0.4126273303680834,-0.07720645924698258,81,-2,-0.4629502288971459
2017,Newcastle United,-0.07765758064450744,-0.06424882344714264,-0.0134087571973648,94,45,-0.4393896667373121
2018,Cardiff,-0.5036005094459886,-0.2665383810317608,-0.2370621284142278,90,30,-0.4466390704787994
2018,Fulham,-0.5927593888107453,-0.2277825170725444,-0.36497687173820087,88,33,-0.45026377234954307
2018,Wolverhampton Wanderers,0.1627739149328547,-0.013511847365220535,0.17628576229807524,99,43,-0.43032791206045296
2019,Aston Villa,-0.4219101955403015,-0.13596142776558856,-0.28594876777471295,76,21,-0.472011983574005
2019,Norwich,-0.6895711418389249,-0.3857484087822386,-0.3038227330566863,94,36,-0.4393896667373121
2019,Sheffield United,-0.05452397798151579,-0.131741870183639,0.07721789220212322,89,37,-0.44845142141417127
2020,Fulham,-0.4163649330704667,-0.3240632245221798,-0.09230170854828691,81,16,-0.4629502288971459
2020,Leeds,0.05175012699961948,0.2244916607763681,-0.1727415337767486,93,42,-0.44120201767268397
2020,West Bromwich Albion,-0.6919734568282727,-0.3302861300319066,-0.36168732679636617,83,32,-0.45932552702640217
2021,Brentford,-0.005145607276054603,-0.016623347041287848,0.011477739765233246,87,37,-0.45207612328491487
2021,Norwich,-0.9520999211232986,-0.5580506645477022,-0.3940492565755963,97,39,-0.4339526139311966
2021,Watford,-0.5620131513304453,-0.2727158322015688,-0.28929731912887646,91,33,-0.44482671954342756
2022,Bournemouth,-0.45799049227810296,-0.251825339916432,-0.20616515236167096,88,35,-0.45026377234954307
2022,Fulham,-0.2695604565233575,-0.10915370050440419,-0.16040675601895327,90,63,-0.4466390704787994
2022,Nottingham Forest,-0.5217583848086862,-0.34014054845604674,-0.18161783635263942,80,33,-0.4647625798325177
2023,Burnley,-0.5455302202525278,-0.35393821005681714,-0.1915920101957107,101,52,-0.4267032101897093
2023,Luton,-0.572754862863651,-0.18886543014373625,-0.38388943271991466,80,18,-0.4647625798325177
2023,Sheffield United,-0.8270192078020968,-0.453506542426105,-0.3735126653759918,91,34,-0.44482671954342756
2024,Ipswich,-0.7032416195984079,-0.35771539838725464,-0.34552622121115334,96,35,-0.43576496486656846
2024,Leicester,-0.8078406447704327,-0.44074765487798195,-0.3670929898924507,97,48,-0.4339526139311966
2024,Southampton,-0.928199344954205,-0.4713870921232363,-0.4568122528309687,87,24,-0.45207612328491487
2025,Burnley,-0.6958734015666991,-0.35453374240823343,-0.34133965915846565,100,53,-0.42851556112508116
2025,Leeds,-0.006024571496853706,-0.010449169289943648,0.004424597793089942,100,65,-0.42851556112508116
2025,Sunderland,-0.2925795306571437,-0.27148708686233625,-0.021092443794807483,76,14,-0.472011983574005
