xi,w_xg,ridge,rps,ll,b_rps,n
0.0015,0.0,0.0,0.2019652743366164,0.9761826161845176,0.193431421524078,1140
0.0015,0.0,2.0,0.2012390053905845,0.9721035656126958,0.193431421524078,1140
0.0015,0.0,6.0,0.2009870066890414,0.9714604267646776,0.193431421524078,1140
0.0015,0.0,15.0,0.2011955764962681,0.9726055027909124,0.193431421524078,1140
0.0015,0.4,0.0,0.2008669229682076,0.9721859098035532,0.193431421524078,1140
0.0015,0.4,2.0,0.2003238337479571,0.969420451813009,0.193431421524078,1140
0.0015,0.4,6.0,0.2003803925093147,0.9698805676410976,0.193431421524078,1140
0.0015,0.4,15.0,0.2010493951762167,0.9725102422453836,0.193431421524078,1140
0.0015,0.7,0.0,0.2006467142117759,0.9712491421880554,0.193431421524078,1140
0.0015,0.7,2.0,0.2001705153723877,0.9691849093517244,0.193431421524078,1140
0.0015,0.7,6.0,0.2003747076507243,0.970135474210877,0.193431421524078,1140
0.0015,0.7,15.0,0.2012773796117466,0.9734662363914802,0.193431421524078,1140
0.0015,1.0,0.0,0.2009896007406648,0.9723298173281996,0.193431421524078,1140
0.0015,1.0,2.0,0.2005109445840186,0.970529513547606,0.193431421524078,1140
0.0015,1.0,6.0,0.2007822181602279,0.9716755689309692,0.193431421524078,1140
0.0015,1.0,15.0,0.2018105195599979,0.975335829046552,0.193431421524078,1140
0.003,0.0,0.0,0.2001018683181901,0.9712568958092446,0.193431421524078,1140
0.003,0.0,2.0,0.1994113272053967,0.9671717973816966,0.193431421524078,1140
0.003,0.0,6.0,0.1994247716758951,0.9673802609832192,0.193431421524078,1140
0.003,0.0,15.0,0.2006821828683641,0.9718652311678676,0.193431421524078,1140
0.003,0.4,0.0,0.1983515968918907,0.9651441886662788,0.193431421524078,1140
0.003,0.4,2.0,0.1979875880806557,0.9629159052031092,0.193431421524078,1140
0.003,0.4,6.0,0.1985341715975157,0.9649787989822854,0.193431421524078,1140
0.003,0.4,15.0,0.200460800478894,0.9715299333067772,0.193431421524078,1140
0.003,0.7,0.0,0.197793031455601,0.9630959008646168,0.193431421524078,1140
0.003,0.7,2.0,0.1975612473793232,0.9618281782559334,0.193431421524078,1140
0.003,0.7,6.0,0.19836694345497,0.9647438327731634,0.193431421524078,1140
0.003,0.7,15.0,0.2006267157190202,0.9722561786140284,0.193431421524078,1140
0.003,1.0,0.0,0.1979318303223142,0.9634977183034088,0.193431421524078,1140
0.003,1.0,2.0,0.1977220200308388,0.9625984030918164,0.193431421524078,1140
0.003,1.0,6.0,0.1986538261059311,0.965894836245151,0.193431421524078,1140
0.003,1.0,15.0,0.2010881554490113,0.9738442046710908,0.193431421524078,1140
0.0045,0.0,0.0,0.1998672162083459,0.9712245091905716,0.193431421524078,1140
0.0045,0.0,2.0,0.1990659706213661,0.9665679787195876,0.193431421524078,1140
0.0045,0.0,6.0,0.199366891534341,0.9676349985489948,0.193431421524078,1140
0.0045,0.0,15.0,0.2015910507228949,0.9750245518307892,0.193431421524078,1140
0.0045,0.4,0.0,0.1974927306682008,0.9629834925199316,0.193431421524078,1140
0.0045,0.4,2.0,0.1972381863221701,0.9610405946164564,0.193431421524078,1140
0.0045,0.4,6.0,0.1982915195804754,0.9646992146648596,0.193431421524078,1140
0.0045,0.4,15.0,0.2013137762222518,0.9744972804157118,0.193431421524078,1140
0.0045,0.7,0.0,0.196687276369269,0.9600720472592984,0.193431421524078,1140
0.0045,0.7,2.0,0.196643585896604,0.9593994617984662,0.193431421524078,1140
0.0045,0.7,6.0,0.1980469283337845,0.9642149253071068,0.193431421524078,1140
0.0045,0.7,15.0,0.2014431397754677,0.9750716674308612,0.193431421524078,1140
0.0045,1.0,0.0,0.1967681429207721,0.9601955045675375,0.193431421524078,1140
0.0045,1.0,2.0,0.1967529522805886,0.9599566405897024,0.193431421524078,1140
0.0045,1.0,6.0,0.1983076635723674,0.9652425132862024,0.193431421524078,1140
0.0045,1.0,15.0,0.2018696755700297,0.9764948370781052,0.193431421524078,1140
0.007,0.0,0.0,0.2010698903036368,0.9763162842063275,0.193431421524078,1140
0.007,0.0,2.0,0.1996997401575949,0.9690962041111902,0.193431421524078,1140
0.007,0.0,6.0,0.2004774507725764,0.9715047712765036,0.193431421524078,1140
0.007,0.0,15.0,0.2038786199127259,0.9821989140091144,0.193431421524078,1140
0.007,0.4,0.0,0.1976282210130964,0.9642350623194452,0.193431421524078,1140
0.007,0.4,2.0,0.1973690775943154,0.962020415741193,0.193431421524078,1140
0.007,0.4,6.0,0.1992143459682819,0.9680531047343182,0.193431421524078,1140
0.007,0.4,15.0,0.2035047967955305,0.9813654432773454,0.193431421524078,1140
0.007,0.7,0.0,0.19644538939550651,0.9600155430692408,0.19343142152407802,1140
0.007,0.7,2.0,0.19659120077190176,0.9597854723124171,0.19343142152407802,1140
0.007,0.7,6.0,0.19890243045095188,0.967352416767238,0.19343142152407802,1140
0.007,0.7,15.0,0.20356819735748266,0.9817076526947632,0.19343142152407802,1140
0.007,1.0,0.0,0.1965022826288931,0.9599768970353404,0.19343142152407802,1140
0.007,1.0,2.0,0.1966909293376589,0.9602374780021292,0.19343142152407802,1140
0.007,1.0,6.0,0.19915978456409889,0.9683083410986673,0.19343142152407802,1140
0.007,1.0,15.0,0.20393239440184052,0.9828918148597315,0.19343142152407802,1140
