season,comp,stage,date,home,away,eng_home,eng_away
2014,UCL,KO,2015-02-17,Paris Saint-Germain,Chelsea,False,True
2014,UCL,KO,2015-03-11,Chelsea,Paris Saint-Germain,True,False
2014,UCL,KO,2015-02-24,Manchester City,Barcelona,True,False
2014,UCL,KO,2015-03-18,Barcelona,Manchester City,False,True
2014,UCL,KO,2015-02-25,Arsenal,Monaco,True,False
2014,UCL,KO,2015-03-17,Monaco,Arsenal,False,True
2014,UCL,group,2014-09-16,Liverpool,Ludogorets Razgrad,True,False
2014,UCL,group,2014-10-01,Basel,Liverpool,False,True
2014,UCL,group,2014-10-22,Liverpool,Real Madrid,True,False
2014,UCL,group,2014-11-04,Real Madrid,Liverpool,False,True
2014,UCL,group,2014-11-26,Ludogorets Razgrad,Liverpool,False,True
2014,UCL,group,2014-12-09,Liverpool,Basel,True,False
2014,UCL,group,2014-09-16,Borussia Dortmund,Arsenal,False,True
2014,UCL,group,2014-10-01,Arsenal,Galatasaray,True,False
2014,UCL,group,2014-10-22,Anderlecht,Arsenal,False,True
2014,UCL,group,2014-11-04,Arsenal,Anderlecht,True,False
2014,UCL,group,2014-11-26,Arsenal,Borussia Dortmund,True,False
2014,UCL,group,2014-12-09,Galatasaray,Arsenal,False,True
2014,UCL,group,2014-09-17,Bayern Munich,Manchester City,False,True
2014,UCL,group,2014-09-30,Manchester City,Roma,True,False
2014,UCL,group,2014-10-21,CSKA Moscow,Manchester City,False,True
2014,UCL,group,2014-11-05,Manchester City,CSKA Moscow,True,False
2014,UCL,group,2014-11-25,Manchester City,Bayern Munich,True,False
2014,UCL,group,2014-12-10,Roma,Manchester City,False,True
2014,UCL,group,2014-09-17,Chelsea,Schalke 04,True,False
2014,UCL,group,2014-09-30,Sporting CP,Chelsea,False,True
2014,UCL,group,2014-10-21,Chelsea,Maribor,True,False
2014,UCL,group,2014-11-05,Maribor,Chelsea,False,True
2014,UCL,group,2014-11-25,Schalke 04,Chelsea,False,True
2014,UCL,group,2014-12-10,Chelsea,Sporting CP,True,False
2014,UEL,KO,2015-02-19,Young Boys,Everton,False,True
2014,UEL,KO,2015-02-26,Everton,Young Boys,True,False
2014,UEL,KO,2015-02-19,Liverpool,Beşiktaş,True,False
2014,UEL,KO,2015-02-26,Beşiktaş,Liverpool,False,True
2014,UEL,KO,2015-02-19,Tottenham,Fiorentina,True,False
2014,UEL,KO,2015-02-26,Fiorentina,Tottenham,False,True
2014,UEL,KO,2015-03-12,Everton,Dynamo Kyiv,True,False
2014,UEL,KO,2015-03-19,Dynamo Kyiv,Everton,False,True
2014,UEL,group,2014-09-18,Partizan,Tottenham,False,True
2014,UEL,group,2014-10-02,Tottenham,Beşiktaş,True,False
2014,UEL,group,2014-10-23,Tottenham,Asteras Tripolis,True,False
2014,UEL,group,2014-11-06,Asteras Tripolis,Tottenham,False,True
2014,UEL,group,2014-11-27,Tottenham,Partizan,True,False
2014,UEL,group,2014-12-11,Beşiktaş,Tottenham,False,True
2014,UEL,group,2014-09-18,Everton,VfL Wolfsburg,True,False
2014,UEL,group,2014-10-02,Krasnodar,Everton,False,True
2014,UEL,group,2014-10-23,Lille,Everton,False,True
2014,UEL,group,2014-11-06,Everton,Lille,True,False
2014,UEL,group,2014-11-27,VfL Wolfsburg,Everton,False,True
2014,UEL,group,2014-12-11,Everton,Krasnodar,True,False
2015,UCL,KO,2016-02-16,Paris Saint-Germain,Chelsea,False,True
2015,UCL,KO,2016-03-09,Chelsea,Paris Saint-Germain,True,False
2015,UCL,KO,2016-02-23,Arsenal,Barcelona,True,False
2015,UCL,KO,2016-03-16,Barcelona,Arsenal,False,True
2015,UCL,KO,2016-02-24,Dynamo Kyiv,Manchester City,False,True
2015,UCL,KO,2016-03-15,Manchester City,Dynamo Kyiv,True,False
2015,UCL,KO,2016-04-06,Paris Saint-Germain,Manchester City,False,True
2015,UCL,KO,2016-04-12,Manchester City,Paris Saint-Germain,True,False
2015,UCL,KO,2016-04-26,Manchester City,Real Madrid,True,False
2015,UCL,KO,2016-05-04,Real Madrid,Manchester City,False,True
2015,UCL,group,2015-09-15,PSV Eindhoven,Manchester United,False,True
2015,UCL,group,2015-09-30,Manchester United,VfL Wolfsburg,True,False
2015,UCL,group,2015-10-21,CSKA Moscow,Manchester United,False,True
2015,UCL,group,2015-11-03,Manchester United,CSKA Moscow,True,False
2015,UCL,group,2015-11-25,Manchester United,PSV Eindhoven,True,False
2015,UCL,group,2015-12-08,VfL Wolfsburg,Manchester United,False,True
2015,UCL,group,2015-09-15,Manchester City,Juventus,True,False
2015,UCL,group,2015-09-30,Borussia Mönchengladbach,Manchester City,False,True
2015,UCL,group,2015-10-21,Manchester City,Sevilla,True,False
2015,UCL,group,2015-11-03,Sevilla,Manchester City,False,True
2015,UCL,group,2015-11-25,Juventus,Manchester City,False,True
2015,UCL,group,2015-12-08,Manchester City,Borussia Mönchengladbach,True,False
2015,UCL,group,2015-09-16,Dinamo Zagreb,Arsenal,False,True
2015,UCL,group,2015-09-29,Arsenal,Olympiacos,True,False
2015,UCL,group,2015-10-20,Arsenal,Bayern Munich,True,False
2015,UCL,group,2015-11-04,Bayern Munich,Arsenal,False,True
2015,UCL,group,2015-11-24,Arsenal,Dinamo Zagreb,True,False
2015,UCL,group,2015-12-09,Olympiacos,Arsenal,False,True
2015,UCL,group,2015-09-16,Chelsea,Maccabi Tel Aviv,True,False
2015,UCL,group,2015-09-29,Porto,Chelsea,False,True
2015,UCL,group,2015-10-20,Dynamo Kyiv,Chelsea,False,True
2015,UCL,group,2015-11-04,Chelsea,Dynamo Kyiv,True,False
2015,UCL,group,2015-11-24,Maccabi Tel Aviv,Chelsea,False,True
2015,UCL,group,2015-12-09,Chelsea,Porto,True,False
2015,UEL,KO,2016-02-18,Fiorentina,Tottenham,False,True
2015,UEL,KO,2016-02-25,Tottenham,Fiorentina,True,False
2015,UEL,KO,2016-02-18,Midtjylland,Manchester United,False,True
2015,UEL,KO,2016-02-25,Manchester United,Midtjylland,True,False
2015,UEL,KO,2016-02-18,FC Augsburg,Liverpool,False,True
2015,UEL,KO,2016-02-25,Liverpool,FC Augsburg,True,False
2015,UEL,KO,2016-03-10,Liverpool,Manchester United,True,True
2015,UEL,KO,2016-03-17,Manchester United,Liverpool,True,True
2015,UEL,KO,2016-03-10,Borussia Dortmund,Tottenham,False,True
2015,UEL,KO,2016-03-17,Tottenham,Borussia Dortmund,True,False
2015,UEL,KO,2016-04-07,Borussia Dortmund,Liverpool,False,True
2015,UEL,KO,2016-04-14,Liverpool,Borussia Dortmund,True,False
2015,UEL,KO,2016-04-28,Villarreal,Liverpool,False,True
2015,UEL,KO,2016-05-05,Liverpool,Villarreal,True,False
2015,UEL,group,2015-09-17,Bordeaux,Liverpool,False,True
2015,UEL,group,2015-10-01,Liverpool,Sion,True,False
2015,UEL,group,2015-10-22,Liverpool,Rubin Kazan,True,False
2015,UEL,group,2015-11-05,Rubin Kazan,Liverpool,False,True
2015,UEL,group,2015-11-26,Liverpool,Bordeaux,True,False
2015,UEL,group,2015-12-10,Sion,Liverpool,False,True
2015,UEL,group,2015-09-17,Tottenham,Qarabağ,True,False
2015,UEL,group,2015-10-01,Monaco,Tottenham,False,True
2015,UEL,group,2015-10-22,Anderlecht,Tottenham,False,True
2015,UEL,group,2015-11-05,Tottenham,Anderlecht,True,False
2015,UEL,group,2015-11-26,Qarabağ,Tottenham,False,True
2015,UEL,group,2015-12-10,Tottenham,Monaco,True,False
2016,UCL,KO,2017-02-21,Manchester City,Monaco,True,False
2016,UCL,KO,2017-03-15,Monaco,Manchester City,False,True
2016,UCL,KO,2017-02-15,Bayern Munich,Arsenal,False,True
