Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BFDH,BFDD,BFDA,BVH,BVD,BVA,BWH,BWD,BWA,PPH,PPD,PPA,SKBH,SKBD,SKBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,PPCH,PPCD,PPCA,SKBCH,SKBCD,SKBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
EC,08/08/2026,15:00,Altrincham,Southend,1,3,A,1,1,D,Z Kennard-Kettle,8,16,4,7,10,6,1,1,3,2,1,0,4,3.8,1.73,4.2,3.75,1.7,4.4,3.75,1.67,4,3.7,1.66,4,3.8,1.67,3.9,3.6,1.67,4.4,3.8,1.73,4.13,3.72,1.68,4.6,4,1.75,1.7,2.1,1.7,2.1,1.66,2.08,1.67,2.2,0.75,1.9,1.9,1.9,1.9,1.85,1.85,1.93,1.94,3.5,3.7,1.85,3.75,3.75,1.8,3.8,3.6,1.8,3.5,3.5,1.8,3.8,3.6,1.75,3.75,3.5,1.75,4,3.8,1.85,3.67,3.6,1.8,3.85,4.1,1.97,1.73,2.08,1.73,2.2,1.67,2.08,1.76,2.26,0.5,1.9,1.9,1.96,1.9,1.89,1.8,1.98,1.97
EC,08/08/2026,15:00,Boreham Wood,Tamworth,3,3,D,1,1,D,A Jackson,15,8,9,6,4,13,10,2,1,0,0,0,1.4,4.5,6.25,1.4,4.6,6.5,1.4,4.6,6.5,1.39,4.6,5.5,1.36,4.5,6,1.36,4.33,6,1.4,4.75,6.5,1.39,4.55,6.04,1.43,4.9,6.6,1.48,2.6,1.5,2.63,1.46,2.54,1.48,2.66,-1.25,1.85,1.95,1.85,1.95,1.83,1.87,1.9,1.9,1.53,4.1,5,1.5,4.33,5,1.5,4.2,5.25,1.52,4.1,4.6,1.5,4,5,1.44,4,5.25,1.53,4.33,5.25,1.51,4.19,4.94,1.56,4.6,6.2,1.53,2.4,1.53,2.63,1.49,2.45,1.58,2.56,-1,1.88,1.93,1.88,1.93,1.83,1.88,1.9,2.03
EC,08/08/2026,15:00,Boston Utd,Aldershot,0,1,A,0,0,D,R Watkins,10,13,5,5,14,13,2,4,4,3,1,0,1.95,3.6,3.25,2,3.6,3.2,1.95,3.6,3.3,1.95,3.4,3.2,1.95,3.6,3.1,1.95,3.5,3.1,2,3.6,3.33,1.95,3.54,3.22,2.02,3.9,3.45,1.67,2.15,1.67,2.2,1.62,2.16,1.67,2.3,-0.5,1.98,1.83,1.98,1.83,1.93,1.76,2.02,1.87,1.62,3.9,4.5,1.7,3.75,4.2,1.62,3.9,4.6,1.68,3.6,4.1,1.6,3.8,4.5,1.6,3.75,4.33,1.73,4,4.6,1.65,3.77,4.28,1.72,4.3,5,1.67,2.15,1.67,2.25,1.63,2.15,1.8,2.16,-0.75,1.83,1.98,1.9,1.98,1.82,1.89,1.91,2.05
EC,08/08/2026,15:00,Carlisle,Worthing,2,3,A,1,0,H,S Jackson,17,4,6,3,10,9,6,0,0,2,0,0,1.6,4.2,4.33,1.53,4.2,5,1.55,4,5,1.55,3.9,4.5,1.5,4.2,5,1.5,4,4.8,1.6,4.2,5.1,1.55,4.04,4.73,1.59,4.3,5.5,1.67,2.15,1.67,2.25,1.6,2.18,1.68,2.22,-1,1.98,1.83,1.98,1.83,1.91,1.8,1.97,1.85,1.48,4.5,5,1.5,4.2,5.5,1.45,4.2,6,1.47,4.1,5.25,1.4,4.33,5.5,1.44,4.2,5.25,1.55,4.5,6,1.47,4.26,5.38,1.54,4.9,6.4,1.62,2.25,1.62,2.4,1.59,2.22,1.66,2.44,-1,1.8,2,1.91,2,1.8,1.91,1.86,2.1
EC,08/08/2026,15:00,Eastleigh,Gateshead,2,1,H,1,0,H,S Mulhall,8,11,4,6,9,11,5,8,0,2,0,0,2.2,3.5,2.8,2.2,3.6,2.8,2.2,3.5,2.75,2.15,3.5,2.65,2.15,3.6,2.75,2.15,3.5,2.7,2.25,3.75,2.8,2.19,3.54,2.72,2.28,3.85,2.76,1.6,2.3,1.6,2.38,1.56,2.27,1.59,2.34,-0.25,2,1.8,2,1.8,1.94,1.77,2.02,1.8,2.15,3.5,2.88,2.15,3.6,2.5,2.2,3.5,2.8,2.2,3.5,2.65,2.1,3.5,2.8,2.1,3.5,2.8,2.2,3.8,2.9,2.16,3.53,2.77,2.22,3.95,3.25,1.62,2.25,1.62,2.3,1.58,2.22,1.71,2.34,-0.25,1.95,1.85,1.95,1.85,1.89,1.81,1.94,2.03
EC,08/08/2026,15:00,Forest Green,Halifax,3,2,H,0,1,A,L Sandoe,8,10,6,4,15,7,8,5,1,2,0,0,1.62,3.9,4.6,1.6,4,4.6,1.6,3.8,4.8,1.58,3.8,4.5,1.57,3.8,5,1.55,3.75,4.75,1.62,4,5,1.59,3.84,4.69,1.63,4,5.2,1.7,2.1,1.7,2.1,1.67,2.06,1.72,2.1,-0.75,1.8,2,1.8,2,1.76,1.95,1.8,2.04,1.48,4.33,5.5,1.53,4,5.5,1.45,4.2,6,1.49,4,5,1.44,4.2,5.5,1.44,4,5.5,1.55,4.33,6,1.48,4.14,5.4,1.52,4.7,6.6,1.6,2.3,1.65,2.3,1.6,2.19,1.7,2.38,-1,1.75,2.05,1.9,2.05,1.77,1.94,1.82,2.06
EC,08/08/2026,15:00,Fylde,Wealdstone,2,2,D,0,0,D,J Robinson,15,10,10,5,8,17,5,5,1,2,0,0,2,3.6,3.2,2,3.6,3.2,1.95,3.6,3.3,1.95,3.5,3.1,1.95,3.6,3.1,1.95,3.5,3.1,2.05,3.6,3.3,1.97,3.53,3.17,2.02,3.6,3.3,1.67,2.15,1.67,2.2,1.63,2.14,1.69,2.18,-0.5,1.98,1.83,1.98,1.83,1.94,1.75,2.03,1.79,1.91,3.6,3.4,1.9,3.6,3.5,1.93,3.6,3.4,1.98,3.4,3.1,1.87,3.6,3.4,1.95,3.5,3.1,2,3.75,3.6,1.93,3.54,3.32,1.99,3.9,3.9,1.67,2.15,1.67,2.25,1.63,2.14,1.72,2.3,-0.5,1.95,1.85,1.95,1.85,1.89,1.79,1.99,1.98
EC,08/08/2026,15:00,Harrogate,Solihull,5,2,H,1,0,H,S Mather,19,8,12,2,9,9,8,5,1,0,0,0,1.65,3.9,4.5,1.57,4,5,1.62,3.75,4.75,1.61,3.75,4.33,1.57,4,4.75,1.55,3.8,4.6,1.65,4.25,5,1.6,3.88,4.51,1.67,4,5,1.75,2.05,1.75,2.1,1.7,2.03,1.75,2.18,-0.75,1.85,1.95,1.85,1.95,1.8,1.9,1.86,2,1.7,3.8,4.2,1.67,3.75,4.6,1.7,3.6,4.33,1.68,3.6,4,1.57,3.75,4.75,1.6,3.75,4.33,1.7,4,4.75,1.66,3.71,4.32,1.83,3.9,4.4,1.75,2.05,1.75,2.1,1.72,2,1.92,2,-0.75,1.98,1.83,1.98,1.9,1.88,1.83,2.12,1.84
EC,08/08/2026,15:00,Hartlepool,Barrow,2,0,H,1,0,H,C Jones,6,6,5,3,20,8,2,5,1,2,0,0,2.2,3.4,2.88,2.2,3.4,2.88,2.25,3.3,2.88,2.2,3.3,2.7,2.15,3.4,2.88,2.15,3.3,2.8,2.25,3.66,2.88,2.21,3.38,2.8,2.3,3.5,3.05,1.83,1.98,1.83,2,1.77,1.94,1.78,2.02,-0.25,1.98,1.83,1.98,1.83,1.93,1.79,1.98,1.89,2.15,3.4,3,2.15,3.4,3,2.15,3.3,3,2.05,3.25,3,2.1,3.4,2.88,2.15,3.3,2.8,2.15,3.5,3.1,2.12,3.33,2.98,2.34,3.6,3.15,1.85,1.95,1.85,2,1.77,1.94,1.92,2,-0.25,1.9,1.9,1.9,1.9,1.85,1.85,2.03,1.92
EC,08/08/2026,15:00,Hornchurch,Kidderminster,3,0,H,3,0,H,D Bourne,15,5,8,1,10,6,4,3,3,1,0,0,2.75,3.4,2.3,2.63,3.5,2.38,2.63,3.4,2.38,2.55,3.3,2.3,2.63,3.4,2.3,2.6,3.3,2.3,2.75,3.5,2.38,2.63,3.37,2.33,2.78,3.55,2.44,1.75,2.05,1.75,2.05,1.73,1.98,1.77,2.08,0,2,1.8,2,1.8,1.95,1.76,2.03,1.78,2,3.5,3.25,2.15,3.5,3,2,3.5,3.25,2.05,3.3,2.95,2.1,3.4,2.88,2.1,3.4,2.88,2.15,3.5,3.25,2.07,3.39,3.07,2.14,3.8,3.45,1.75,2.05,1.75,2.05,1.73,2,1.87,2.08,-0.25,1.78,2.03,1.83,2.03,1.77,1.94,1.86,2.06
