,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Manchester City,0.40915,0.273,0.12535,0.07095,0.04185,0.025,0.0184,0.012,0.0084,0.0055,0.00465,0.0022,0.0016,0.0009,0.0006,0.0003,0.00015,0.0,0.0,0.0
Arsenal,0.3845,0.27765,0.13735,0.07365,0.0444,0.0279,0.01995,0.01145,0.008,0.0057,0.0033,0.00185,0.0023,0.00105,0.0006,0.00025,0.0001,0.0,0.0,0.0
Liverpool,0.05765,0.10665,0.15635,0.135,0.11065,0.0919,0.07575,0.05985,0.0491,0.0419,0.0324,0.0243,0.0208,0.013,0.0094,0.00695,0.0042,0.0026,0.00125,0.0003
Brighton,0.0521,0.10345,0.1406,0.1293,0.10865,0.09745,0.0767,0.06595,0.05355,0.04085,0.0343,0.02875,0.0201,0.0163,0.01125,0.0081,0.00655,0.00335,0.0022,0.0005
Brentford,0.0347,0.0472,0.0716,0.0789,0.0826,0.0791,0.08305,0.07505,0.07025,0.06705,0.06305,0.05405,0.045,0.04305,0.03265,0.02685,0.0207,0.01255,0.00875,0.00385
Manchester United,0.01375,0.0432,0.07675,0.0878,0.094,0.08925,0.08155,0.07975,0.0714,0.06635,0.06035,0.05355,0.042,0.0358,0.03185,0.0259,0.0213,0.01345,0.00865,0.00335
Leeds,0.01145,0.0317,0.0579,0.07845,0.08495,0.0946,0.08905,0.08705,0.07745,0.0741,0.0628,0.059,0.04785,0.04225,0.0334,0.0265,0.0184,0.0134,0.0072,0.0025
Chelsea,0.01335,0.03305,0.0524,0.0657,0.0774,0.076,0.0751,0.07345,0.0731,0.0678,0.065,0.06115,0.05555,0.04885,0.0469,0.038,0.033,0.02245,0.0143,0.00745
Bournemouth,0.00555,0.0224,0.04415,0.0637,0.07795,0.0824,0.0876,0.08335,0.08025,0.0773,0.068,0.06295,0.05795,0.0519,0.04225,0.03485,0.02505,0.0173,0.0114,0.0037
Newcastle United,0.0041,0.0177,0.03825,0.04935,0.0586,0.0663,0.06855,0.0723,0.0768,0.07355,0.07175,0.0681,0.06825,0.0592,0.0531,0.0484,0.041,0.0323,0.02205,0.01035
Everton,0.0042,0.01125,0.02735,0.04165,0.055,0.06025,0.06415,0.0724,0.07715,0.07825,0.07855,0.07695,0.07055,0.0636,0.0616,0.05075,0.04145,0.03295,0.0207,0.01125
Nottingham Forest,0.00325,0.0111,0.0218,0.03735,0.04365,0.0545,0.0617,0.066,0.06935,0.07025,0.0711,0.07305,0.07355,0.06985,0.068,0.06,0.05445,0.04275,0.03025,0.01805
Hull,0.00215,0.0064,0.014,0.021,0.0293,0.0346,0.0408,0.0499,0.05535,0.06155,0.06385,0.0703,0.0747,0.0781,0.0786,0.08465,0.0745,0.07255,0.05345,0.03425
Aston Villa,0.00195,0.0065,0.01435,0.0232,0.02815,0.03415,0.04245,0.04585,0.0517,0.05745,0.06725,0.0697,0.07685,0.0752,0.0781,0.0764,0.07925,0.06905,0.0605,0.04195
Sunderland,0.001,0.00415,0.00885,0.01665,0.0203,0.02755,0.03785,0.0418,0.04955,0.05255,0.0644,0.06745,0.07665,0.0812,0.0867,0.08645,0.085,0.0801,0.0651,0.0467
Crystal Palace,0.0007,0.0024,0.00725,0.0148,0.01985,0.0272,0.0317,0.0409,0.04605,0.0534,0.0572,0.0664,0.0729,0.07795,0.08345,0.0849,0.0901,0.09085,0.07735,0.05465
Fulham,0.00015,0.0009,0.00175,0.00455,0.0076,0.0114,0.0165,0.0241,0.02995,0.03685,0.04875,0.05675,0.0641,0.07915,0.0859,0.1022,0.11145,0.11405,0.11475,0.08915
Tottenham,0.0003,0.00075,0.0025,0.00445,0.0092,0.0118,0.01595,0.0218,0.0281,0.03475,0.04195,0.04975,0.0612,0.07625,0.08205,0.096,0.1079,0.12165,0.12215,0.1115
Ipswich,0.0,0.0002,0.00095,0.00205,0.00375,0.00575,0.008,0.01025,0.0153,0.02035,0.02465,0.0323,0.04,0.0468,0.0636,0.0762,0.10145,0.1377,0.1913,0.2194
Coventry,0.0,0.00035,0.0005,0.0015,0.00215,0.0029,0.0052,0.0068,0.0092,0.0145,0.0167,0.02145,0.0281,0.0396,0.05,0.06635,0.084,0.12095,0.18865,0.3411
